2017-08-15 22:51:39.842 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.imooc.sell.dao.SellerInfoDaoTest], using SpringBootContextLoader
2017-08-15 22:51:39.844 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.imooc.sell.dao.SellerInfoDaoTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-08-15 22:51:39.844 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.imooc.sell.dao.SellerInfoDaoTest]: SellerInfoDaoTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-08-15 22:51:39.850 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.imooc.sell.SellApplication for test class com.imooc.sell.dao.SellerInfoDaoTest
2017-08-15 22:51:39.854 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-08-15 22:51:39.858 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@54d9d12d, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@38425407, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@43bc63a3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@702657cc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6a6cb05c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@40a4337a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6025e1b6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@22ff4249, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2d1ef81a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4c402120, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@327514f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5b12b668]
2017-08-15 22:51:39.859 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.imooc.sell.SellApplicationTests], using SpringBootContextLoader
2017-08-15 22:51:39.860 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.imooc.sell.SellApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-08-15 22:51:39.862 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.imooc.sell.SellApplicationTests]: SellApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-08-15 22:51:39.876 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.imooc.sell.SellApplication for test class com.imooc.sell.SellApplicationTests
